100	2909650.166667
150	7868315.333333
200	14630597.500000
250	26810087.166667
300	43152575.833333
350	71412006.333333
400	96702454.333333
450	139469988.166667
500	189529713.666667
550	236140185.666667
600	284622878.500000
650	354920743.333333
700	375957612.833333
750	472681970.833333
800	489100190.166667
850	559309175.666667
900	657239371.666667
950	756982398.000000
1000	767033792.500000
1100	931602506.000000
1200	1217781415.333333
1300	1422313257.666667
1400	1664870484.166667
1500	1865938691.500000
1600	2299814676.500000
1700	2844323945.500000
1800	3279491948.500000
1900	3410781967.000000
2000	4205741352.500000
2100	5897152934.000000
2200	5593261405.333333
2300	6744766155.833333
2400	7029863324.333333
2500	9562053061.166666
2600	9359827942.666666
2700	11029231743.000000
2800	11243467392.666666
2900	14388081085.333334
3000	13885160964.666666
3100	16364396694.166666
3200	17040607809.000000
3300	18880877632.666668
3400	22473461403.333332
3500	22489611099.166668
