100	10791522.000000
150	32981389.833333
200	63991002.333333
250	109120318.833333
300	159873238.166667
350	223956560.833333
400	298582788.500000
450	391702623.833333
500	535884927.000000
550	668675625.500000
600	815502666.666667
650	1023127121.000000
700	1168389845.666667
750	1388833787.166667
800	1586324818.500000
850	1866217679.833333
900	2159449446.166667
950	2395985213.166667
1000	2800706446.000000
1100	3921210305.500000
1200	4975650281.333333
1300	6419455589.333333
1400	7882437851.833333
1500	9689667621.000000
1600	11668205117.000000
1700	13893020210.000000
1800	16369781138.333334
1900	19124789619.833332
2000	22172680116.166668
2100	26026173256.500000
2200	29576327221.000000
2300	33611916233.166668
2400	38013445939.000000
2500	43302782661.333336
2600	48825180633.833336
2700	54730985581.166664
2800	59691951729.833336
2900	66870578096.500000
3000	73665766802.166672
3100	83469657978.000000
3200	89269056574.333328
3300	98062274146.166672
3400	106957287491.166672
3500	116859375756.833328
