100	1300914.833333
150	2914613.166667
200	5189353.166667
250	6630958.333333
300	14365577.833333
350	15558288.666667
400	27831651.333333
450	35277666.500000
500	45671182.500000
550	82529516.333333
600	96831481.666667
650	89826165.000000
700	134706238.000000
750	121364770.666667
800	226236678.166667
850	262217129.500000
900	216357668.833333
950	247698286.666667
1000	373459275.000000
1100	557271537.000000
1200	659963439.166667
1300	887641647.666667
1400	1192257917.000000
1500	1529576271.500000
1600	1909136118.166667
1700	1654456626.333333
1800	1983459801.166667
1900	3221665186.833333
2000	3711307118.000000
2100	3236161657.833333
2200	5040948111.333333
2300	5736126945.000000
2400	6438806956.166667
2500	5432143089.000000
2600	8293140325.000000
2700	6861579526.333333
2800	10415502073.166666
2900	8622767119.333334
3000	12978207162.000000
3100	10408266474.333334
3200	15617000949.666666
3300	17267736643.166668
3400	13977354224.833334
3500	20478966110.000000
