"x","y","wifi","4g"
-12.688174488713567,1.6233268537300916,2.88,29.7
-12.444824500596058,1.7704626080149968,2.82,29.8
-12.206147295651196,1.8578535063771344,1.29,29.8
-11.921607589387486,1.926763614765325,2.88,29.8
-11.662494246609077,1.9936671166634508,2.95,29.8
-11.373578946022153,2.05218537516253,2.86,29.8
-11.149579674976865,2.059566008139223,4.27,29.8
-11.016652983333593,1.9562127369190776,3.21,29.9
-11.101972763109764,2.294403365554696,2.57,29.9
-10.94952853126964,2.595263017243079,2.59,30.0
-10.776788096461612,2.9202919789476365,3.43,30.0
-10.7226574089343,3.2252892938130873,2.74,30.0
-10.711234273098711,3.494659599187523,2.86,30.0
-10.689144095180549,3.851371025645531,1.33,30.0
-10.860201141333514,4.159478266650429,2.83,30.0
-10.956950582192501,4.295954956128469,1.35,30.0
-10.977745600171136,4.321960894892037,2.80,30.0
-11.07931750673547,4.348206690153646,1.91,30.1
-11.147816722351113,4.361290271278934,2.83,30.1
-11.046669733502425,4.372881187687478,2.88,30.1
-11.043778022922242,4.373122843909027,2.89,30.1
-10.987862104176259,4.399035033230422,3.33,30.1
-11.003098691251488,4.437055398712081,2.59,30.1
-11.015917486089805,4.416680633119817,3.15,30.2
-10.93202727133831,4.316519810670409,2.57,30.2
-10.719201966458943,4.011256674059531,2.58,30.2
-10.54218538922568,3.6489786163397517,2.94,30.2
-10.45910124021634,3.2732960452116022,2.78,30.2
-10.5430267391292,3.078670979764129,2.95,30.2
-10.553763713947193,3.0938594131393993,2.71,30.3
-10.547682740412723,3.0954144836964,3.41,30.3
-10.547756962306298,3.076458692306881,2.65,30.3
-10.53706863202829,3.0748323275965004,2.80,30.3
-10.523654985038885,3.0615151700811425,2.78,30.3
-10.272854717930366,2.753290746376016,5.06,30.3
-10.067057550416944,2.46307031660346,1.39,30.3
-9.776363447466078,2.2244062212118227,2.88,30.4
-9.464090256741787,2.0576069556953023,1.34,30.4
-7.269211984647828,3.4312338295711813,7.24,30.4
-7.480283993615251,3.704846675383317,2.90,30.5
-7.632697464915562,4.04281633148977,3.07,30.5
-7.814677533488071,4.374623226651927,2.82,30.5
-7.898102821224428,4.763674387549019,2.99,30.6
-8.037352680986933,5.002573476174515,2.90,30.6
-8.27843883561926,5.2619895347220345,2.60,30.6
-8.284691627341351,5.26281070159372,5.95,30.6
-8.368972207780953,5.266735389192515,1.18,30.7
-8.282843306455677,5.029184152746996,2.63,30.7
-8.186440516132244,4.697500132793998,2.84,30.7
-8.001744357798096,4.334432800408878,1.33,30.8
-7.808768947674967,3.9943145913959865,2.82,30.8
-7.6134245788561365,3.6286460887446155,2.85,30.8
-7.501450821213478,3.2347820994360967,3.24,30.8
-7.452998121345164,2.8149410374197315,2.97,30.9
-7.634152911121697,2.4907396976785003,2.82,30.9
-8.145777236160923,2.1400126490998135,2.96,30.9
-8.2857669041993,2.0294776595652877,2.67,31.0
-8.63830699972892,1.8621214243467215,2.94,31.0
-9.018331335238209,1.8615406284906593,2.85,31.0
-9.376711178983486,1.7190860185297696,2.54,31.0
-9.728248239261664,1.561315154204535,2.74,31.0
-9.982313781139489,1.285624151356214,2.60,31.0
-10.131523985638276,0.9514851621659952,2.62,31.0
-10.134158670542933,0.5667793068979021,3.19,31.1
-10.058139846908642,0.17948404287718667,2.94,31.1
-9.971170275584077,-0.16171838561464646,3.28,31.1
-9.882777076756648,-0.5292165757958216,1.42,31.1
-9.684768216530003,-0.8475522068578218,2.77,31.1
-9.528095454869634,-1.1904617624594351,2.86,31.1
-9.413619196767065,-1.555048152322633,2.90,31.1
-9.216221056135302,-1.8784587382867013,2.86,31.2
-9.021337890650898,-2.2039987828018806,3.22,31.2
-8.850793163029888,-2.4334346351973517,1.33,31.2
-8.791588552824663,-2.580922949146795,2.87,31.2
-8.741406984338733,-2.651931616760617,2.58,31.2
-8.602856921187295,-2.7517857968912978,2.74,31.3
-8.378721580429517,-2.8864769874363523,1.38,31.3
-8.044104244824474,-3.0695548823837644,2.85,31.3
-7.887403984131043,-3.2801936691577893,1.22,31.3
-7.770517147960365,-3.5391240366664327,3.09,31.3
-7.785469931765454,-3.458993900950489,2.71,31.3
-7.8508438914402845,-3.3011471317819243,2.79,31.3
-7.832803163553224,-3.4079024748948763,2.60,31.3
-7.7270492235254755,-3.6160841075297174,2.80,31.4
-7.695393483024885,-3.9249418170003567,2.78,31.4
-9.491461478075761,-5.362609247847254,3.43,31.5
-9.847104707468095,-5.476241860540954,3.29,31.5
-10.212687356887635,-5.641095160555606,2.83,31.5
-10.558104595543488,-5.782539593548562,3.12,31.6
-10.932681419215191,-5.931351875989726,2.84,31.6
-11.230391286210274,-6.046118200932604,2.84,31.6
-11.320547823323583,-6.086323061590404,2.88,31.6
-11.681771896046527,-6.281285495444643,2.94,31.7
-12.02271123877504,-6.420857395569785,3.09,31.7
-12.209395322798066,-6.7170419146706095,3.06,31.7
-12.163345181311128,-6.877643652687931,2.17,31.7
-11.963768887197991,-7.248083882563312,3.12,31.7
-11.876140958011012,-7.3259212400919385,3.00,31.8
-11.833506609064385,-7.320008173071612,2.64,31.8
-11.476870515948278,-7.231320480292739,1.64,31.8
-11.091493375405632,-7.155900155210036,3.29,31.8
-10.623972850714555,-7.147405541866139,2.93,31.8
-10.323341407869842,-7.355180838182854,2.97,31.9
-10.179067666945475,-7.71643249070938,4.35,31.9
-10.299510800047404,-8.06994052470186,3.03,31.9
-10.545419653440828,-8.35152126689253,3.64,31.9
-10.823364331866276,-8.591788212566762,1.30,31.9
-10.88521588488755,-8.739472341110952,3.16,32.0
-10.804122075663097,-8.940882581294886,3.92,32.0
-10.698933572957776,-9.003276420732165,2.87,32.0
-10.387602720760896,-9.029535974266,2.60,32.0
-10.020857838419177,-8.885344521145207,1.41,32.0
-9.677064935574453,-8.71662655802629,2.67,32.0
-9.356321671322746,-8.505620904953076,1.37,32.0
-9.01625695124985,-8.322481160467248,2.93,32.0
