(-10.93202727133831, 4.316519810670409, -49.616457175787914)	2.57	32.0
(-10.719201966458943, 4.011256674059531, -63.454840950692464)	2.58	28.1
(-10.54218538922568, 3.6489786163397517, -71.84548361510058)	2.94	45.0
(-10.45910124021634, 3.2732960452116022, -64.55692689301848)	2.78	37.8
(-10.5430267391292, 3.078670979764129, -60.87100645543665)	2.95	45.8
(-10.553763713947193, 3.0938594131393993, -60.83171200197369)	2.71	26.9
(-10.547682740412723, 3.0954144836964, -60.80226036762593)	3.41	44.8
(-10.547756962306298, 3.076458692306881, -60.8879534841684)	2.65	35.7
(-10.53706863202829, 3.0748323275965004, -61.12624754883679)	2.80	32.7
(-10.523654985038885, 3.0615151700811425, -61.1838710593029)	2.78	36.0
(-10.272854717930366, 2.753290746376016, -53.73598813662966)	5.06	38.5
(-10.067057550416944, 2.46307031660346, -45.62926557812967)	1.39	29.7
(-9.776363447466078, 2.2244062212118227, -31.76172128503878)	2.88	37.9
(-9.464090256741787, 2.0576069556953023, -18.503240479827983)	1.34	25.8
(-9.084012972681434, 2.0366495255249317, 2.773625676044532)		56.0
(-7.269211984647828, 3.4312338295711813, 130.39056851426497)	7.24	30.7
(-7.480283993615251, 3.704846675383317, 114.56670459945465)	2.90	38.1
(-7.632697464915562, 4.04281633148977, 114.79886570336434)	3.07	37.7
(-7.814677533488071, 4.374623226651927, 114.40166006924653)	2.82	31.2
(-7.898102821224428, 4.763674387549019, 115.45923470413854)	2.99	31.4
(-8.037352680986933, 5.002573476174515, 136.81465144745147)	2.90	37.1
(-8.27843883561926, 5.2619895347220345, 155.94761865323312)	2.60	32.0
(-8.284691627341351, 5.26281070159372, -145.0326026543069)	5.95	33.7
(-8.368972207780953, 5.266735389192515, -99.23324211605414)	1.18	37.7
(-8.282843306455677, 5.029184152746996, -73.45678576351338)	2.63	29.2
(-8.186440516132244, 4.697500132793998, -60.30469380569635)	2.84	36.3
(-8.001744357798096, 4.334432800408878, -61.60121586923007)	1.33	35.5
(-7.808768947674967, 3.9943145913959865, -62.64863448372284)	2.82	35.6
(-7.6134245788561365, 3.6286460887446155, -64.07315552406622)	2.85	42.6
(-7.501450821213478, 3.2347820994360967, -88.10179150599251)	3.24	26.1
(-7.452998121345164, 2.8149410374197315, -111.02635130221104)	2.97	37.4
(-7.634152911121697, 2.4907396976785003, -126.3716271830886)	2.82	36.4
(-8.145777236160923, 2.1400126490998135, -158.7503477790617)	2.96	32.3
(-8.2857669041993, 2.0294776595652877, -160.55914463982126)	2.67	38.0
(-8.63830699972892, 1.8621214243467215, -171.78583603711897)	2.94	26.7
(-9.018331335238209, 1.8615406284906593, -172.23010724884497)	2.85	45.0
(-9.376711178983486, 1.7190860185297696, -155.48841072789187)	2.54	33.7
(-9.728248239261664, 1.561315154204535, -138.4405231599301)	2.74	46.4
(-9.982313781139489, 1.285624151356214, -119.47938663888918)	2.60	30.1
(-10.131523985638276, 0.9514851621659952, -100.68518159794796)	2.62	29.8
(-10.134158670542933, 0.5667793068979021, -72.68004019814616)	3.19	44.3
(-10.058139846908642, 0.17948404287718667, -72.38358756091367)	2.94	36.1
(-9.971170275584077, -0.16171838561464646, -72.3687719666454)	3.28	47.0
(-9.882777076756648, -0.5292165757958216, -68.7428870520836)	1.42	50.2
(-9.684768216530003, -0.8475522068578218, -53.540395420315264)	2.77	38.2
(-9.528095454869634, -1.1904617624594351, -67.05637543628156)	2.86	32.7
(-9.413619196767065, -1.555048152322633, -62.32414973273844)	2.90	34.0
(-9.216221056135302, -1.8784587382867013, -58.16085519564331)	2.86	35.3
(-9.021337890650898, -2.2039987828018806, -57.90341724133464)	3.22	52.2
(-8.850793163029888, -2.4334346351973517, -58.15417177950818)	1.33	35.2
(-8.791588552824663, -2.580922949146795, -53.85948144486944)	2.87	26.8
(-8.741406984338733, -2.651931616760617, -54.429884015733315)	2.58	34.8
(-8.602856921187295, -2.7517857968912978, -19.956250090604343)	2.74	34.8
(-8.378721580429517, -2.8864769874363523, -19.479959016840247)	1.38	42.4
(-8.044104244824474, -3.0695548823837644, -50.43124084827532)	2.85	33.9
(-7.887403984131043, -3.2801936691577893, -63.506544300010766)	1.22	37.9
(-7.770517147960365, -3.5391240366664327, -69.72823774088162)	3.09	33.5
(-7.785469931765454, -3.458993900950489, -71.86313694372055)	2.71	31.3
(-7.8508438914402845, -3.3011471317819243, -87.56400053212917)	2.79	46.4
(-7.832803163553224, -3.4079024748948763, -66.38026936391766)	2.60	36.7
(-7.7270492235254755, -3.6160841075297174, -75.01488900587141)	2.80	33.0
(-7.695393483024885, -3.9249418170003567, -83.88088510644093)	2.78	39.2
(-7.681163457994332, -4.020700231570716, -84.46777514419192)		175
(-9.491461478075761, -5.362609247847254, -162.3391152450219)	3.43	33.2
(-9.847104707468095, -5.476241860540954, -161.62755503001785)	3.29	45.9
(-10.212687356887635, -5.641095160555606, -159.07213577096408)	2.83	34.1
